municipio,denominacao_serventia,endereco,telefone,municipios_circunscritos
Capitão de Campos,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CAPITÃO DE CAMPOS,"Av. Santos Dumont, nº 297, CEP 64.270-000 Centro",(89) 99445-2630,"Capitão Gervásio Oliveira, Boqueirão do Piauí, Cocal de Telha"
Amarante,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE AMARANTE,"Av. Afrânio Filho, nº 356, CEP 64.400-000 Escalvado",(86) 99822-6718,Amarante
Nazaré do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE NAZARÉ DO PIAUÍ,"Avenida Joaquim Ramos, nº 1532/C, CEP 64.825-000 Centro",(89) 99419-8899 / (89) 99467-3105,Nazaré do Piauí
Regeneração,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE REGENERAÇÃO,"Rua Doutor Raimundo Campos, nº 130, CEP 64.490-000 Centro",(86) 981131748 / (86) 99463-6717,
Santa Filomena,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SANTA FILOMENA,"Avenida Presidente Getúlio Vargas, s/n, CEP 64.945-000 Centro",(89 )99979-1680,Santa Filomena
Luzilândia,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE LUZILÂNDIA,"Avenida Prefeito Raimundo Marques, nº 444, CEP 64.160-000 São Domingos",(86) 98188-8282 / (86) 99926-5626,"Luzilândia, Joca Marques, Madeiro"
São João da Serra,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JOÃO DA SERRA,"Avenida Presidente Médici, nº 316, CEP 64.350-000 Centro",(86) 98176-9008,São João da Serra
Teresina,3ª SERVENTIA EXTRAJUDICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE TERESINA,"Rua Davi Caldas, nº 173  Centro Norte",(86) 3221 0643 / (86) 981642884,Teresina
Angical do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANGICAL DO PIAUÍ,"Rua Faustino Sousa, nº 556, CEP 64.410-000 CENTRO",(86) 99506-9854,"Angical do Piauí, Jardim do Mulato"
Guadalupe,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE GUADALUPE,"Rua Airton Granjeiro, s/n, CEP 64.840-000 Centro",(89) 99979-5475,Guadalupe
Teresina,7ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS DE TERESINA,"Rua Barroso, nº 329, CEP 64.000-130 Centro",(86) 98857-7077,Teresina
Francisco Santos,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE FRANCISCO SANTOS,"Rua Amadeu Rodrigues, nº 100, CEP 64.645-000 Centro",(89) 98105-1400,Francisco Santos
Castelo do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CASTELO DO PIAUÍ,"Rua Sete de Setembro, S/N, CEP 64.340-000 Centro",(86) 98124-8584,"Castelo do Piauí, Buriti dos Montes, Juazeiro do Piauí"
Arraial,teste,,,
Isaías Coelho,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ISAÍAS COELHO,"Rua Francisco Terto, 256 centro",(89) 99429-8789,Isaías Coelho
Teresina,2ª SERVENTIA EXTRAJUDICIAL DE NOTAS E PROTESTO DE TÍTULOS DE TERESINA,"Avenida Elias João Tajra, nº 1816, CEP 64.049-300 Fátima",(86) 3029-3564 / (86) 98132-4549,"Teresina, Nazária"
